NAME,NIRC,IS200,IS103,IS101,WRIT001
T6182175Z,Charissa Ford,A-,A,B+,D+
S0996333O,Amethyst Ward,F,A,D+,A
S7869968B,Michael Tucker,F,B-,B+,B+
T7581468L,Vincent Newman,B,A+,A-,B+
S5853802U,Wesley Figueroa,C,B,B-,B-
S6355516F,Vernon Mccormick,B,D+,C+,D
S4188240W,Britanni Gibson,A+,F,B-,D+
T5714978T,Melyssa Lawson,B-,F,A,A
S5107383L,Unity Bush,C+,A,D,C+
S6714616V,Imelda Franklin,A,C,B+,C+
T5090026F,Chantale Daniels,D,A,A+,D+
S4229184Y,Leo Patel,A-,B-,F,D
S8789595M,Britanney Wood,B,A,D+,D+
S5753939P,Dakota Dickerson,D,B-,B+,A-
T3789112I,Galena Camacho,D,C+,B,D+
S9177629E,Chaim Gomez,D+,A,C+,C+
S2317549I,Angelica Vazquez,F,F,B-,A
S2433582D,Cassandra Larsen,D+,D+,A-,C
T2197290I,Josephine Hicks,A-,B+,C,D+
S7471305Z,Shana Lynn,C+,D+,C+,C
T6869410Z,Rhoda Everett,A+,A,A,F
S1476232L,Maggie Douglas,B,B+,A,D+
T5983578P,Ebony Bean,D,B+,D+,C
S6268922A,Wyatt Guzman,F,A,C+,D
S3573784I,Tamekah Nielsen,B+,C,C,B
S5903974S,Sawyer Nguyen,B-,B+,F,D
S7837702J,Kato Solomon,A+,A+,A-,D+
T2586506I,Timon Hewitt,F,F,A-,C
T9728576H,Sandra Valentine,C+,D+,B,A+
S4878393M,Nita Butler,C+,D,B+,A
T2131776P,Lucian Gamble,A-,D+,F,D+
T2060846T,Wyoming Miller,C+,B,D,F
S3434394N,Quemby Mayer,A,C+,B,B-
T2133409U,Arthur Espinoza,D,D,B-,D+
T2170030T,Martena Dorsey,A,D,B-,D
T6848622D,Todd Mayer,F,D+,A-,A+
S5089006O,Hunter Summers,D+,F,B-,D
S5847088E,Ian Lawson,D+,D+,A-,A-
S6518582R,Levi Pierce,B+,B+,C,A+
T3606501H,Colin Sanders,D,F,D,A+
T0087212O,Jennifer Mooney,A-,D,C+,D+
T1466324M,Graham Hamilton,A+,A+,C+,C
T6794993Z,Lucius Fulton,D+,C+,F,C
S8263218B,Garth Charles,D+,D+,B,D+
T8308759Q,Mark Strickland,B+,C+,B+,F
S7525754W,Vance Weiss,B-,F,B+,A
T3258879I,Olga Yates,B+,B-,A+,B+
S8210513H,Finn Calderon,A+,B+,B+,A
T0275497A,Brenden Vargas,D+,A,A,A+
S6940234L,Darius Harrison,A,D+,A-,D
